g 200 199
d 60 -12.4406 6.10013
d 59 1.77975 10.1789
d 58 17.8182 -0.085807
d 57 2.544 -1.93802
d 56 10.2053 -5.33742
d 55 4.94612 5.97579
d 54 2.52237 -6.32603
d 53 -4.98767 -9.95043
d 52 7.10874 9.88424
d 51 -18.1448 -7.73453
d 50 6.62231 -12.7654
d 49 2.0442 3.05175
d 48 6.12416 -6.64726
d 47 -8.11588 14.9199
d 46 -9.62969 6.61208
d 45 11.1081 -12.1008
d 44 2.08053 -0.709623
d 43 -5.03105 -10.6151
d 42 13.1986 11.0576
d 41 0.288905 2.59327
d 40 10.6034 9.1064
d 39 -14.7397 7.65741
d 38 -11.312 3.24297
d 37 14.3652 -11.2637
d 36 -1.03871 1.34506
d 35 -6.79134 -1.94784
d 34 5.8812 -11.5094
d 33 4.6887 10.3691
d 32 12.0237 -8.46813
d 31 10.7061 7.85033
d 30 -13.3078 -12.035
d 29 -7.84394 8.40742
d 28 10.262 -12.3961
d 27 -5.2002 -3.05843
d 26 11.1158 -8.405
d 25 7.02632 -5.50792
d 24 -1.88856 2.28969
d 23 -2.48731 2.74142
d 22 8.78035 16.9592
d 21 16.1915 -7.49015
d 20 16.7302 2.1948
d 19 -5.20532 -2.2513
d 18 10.0259 -4.27128
d 17 4.95673 -4.78604
d 16 0.372065 10.4306
d 15 -0.310026 4.84681
d 14 -4.1214 1.89049
d 13 -5.71363 12.156
d 12 -7.88723 -3.79586
d 11 -19.1375 -1.30398
d 10 -1.26193 -0.389156
d 9 -2.07661 -0.996556
d 8 -1.84183 1.41522
d 7 -10.5291 -1.45591
d 6 -7.9367 15.8426
d 5 4.40599 -4.48003
d 4 6.5639 -2.66122
d 3 -15.9191 -2.80382
d 2 -4.19318 -10.1176
d 1 0.374516 11.8515
d 0 0.0 0.0
e 0 79
e 1 67
e 1 119
e 2 138
e 2 147
e 3 133
e 4 120
e 4 168
e 5 17
e 5 174
e 6 47
e 7 90
e 8 36
e 8 159
e 9 73
e 9 188
e 10 78
e 10 110
e 11 106
e 11 133
e 11 173
e 12 35
e 12 90
e 13 70
e 13 87
e 14 145
e 14 169
e 15 91
e 15 149
e 16 59
e 16 67
e 17 183
e 17 184
e 18 56
e 18 152
e 19 27
e 19 35
e 19 77
e 20 58
e 20 195
e 21 101
e 22 130
e 22 177
e 23 24
e 23 63
e 24 181
e 25 184
e 25 186
e 26 32
e 28 45
e 28 115
e 28 157
e 29 46
e 30 100
e 30 180
e 31 40
e 31 76
e 32 88
e 32 101
e 33 162
e 33 189
e 34 50
e 34 117
e 36 110
e 36 158
e 37 88
e 38 131
e 38 182
e 39 75
e 39 143
e 39 156
e 40 114
e 41 97
e 41 139
e 41 171
e 42 69
e 42 114
e 43 53
e 43 148
e 44 57
e 44 155
e 45 88
e 45 134
e 46 140
e 46 187
e 47 70
e 48 117
e 48 183
e 49 141
e 49 150
e 49 171
e 50 153
e 50 161
e 51 199
e 52 105
e 52 111
e 52 162
e 54 126
e 54 194
e 55 64
e 55 104
e 55 116
e 56 186
e 57 103
e 57 125
e 58 113
e 59 83
e 60 156
e 60 187
e 61 143
e 62 163
e 62 194
e 64 111
e 64 151
e 65 171
e 66 84
e 66 99
e 67 87
e 68 118
e 68 176
e 69 177
e 70 197
e 71 129
e 71 150
e 72 73
e 72 78
e 74 116
e 74 129
e 76 192
e 77 136
e 77 188
e 79 82
e 79 155
e 80 108
e 80 192
e 80 195
e 81 86
e 82 154
e 83 189
e 84 138
e 85 148
e 85 179
e 86 162
e 89 126
e 89 128
e 90 127
e 91 93
e 92 150
e 92 155
e 94 131
e 94 167
e 95 198
e 96 180
e 96 199
e 97 158
e 98 128
e 99 163
e 100 127
e 102 113
e 102 165
e 102 191
e 103 174
e 105 114
e 105 198
e 106 166
e 107 197
e 109 151
e 112 156
e 115 146
e 115 153
e 119 164
e 120 135
e 121 145
e 121 172
e 122 167
e 123 142
e 123 150
e 124 180
e 125 175
e 127 196
e 128 178
e 132 140
e 132 172
e 135 152
e 137 178
e 139 149
e 144 146
e 147 148
e 159 181
e 159 193
e 160 190
e 163 175
e 166 167
e 168 176
e 169 193
e 170 179
e 179 185
e 182 187
e 185 190
